Name	Birthdate	Sex	Profession	Lang
MURAT BOZLAK	1952	M	LAWYER	1
ÖMER ÇELİK	1968	M	SPECIALIST	1
MEHMET NECATİ ÇETİNKAYA	1943	M	BUREAUCRAT	3
ALİ DEMİRÇALI	1965	M	BUSINESSMAN	1
TURGAY DEVELİ	1962	M	JOURNALIST	1
MEHMET ŞÜKRÜ ERDİNÇ	1976	M	LAWYER	2
FATOŞ GÜRKAN	1966	W	LAWYER	1
ALİ HALAMAN	1954	M	BUSINESSMAN	1
ALİ KÜÇÜKAYDIN	1948	M	BUREAUCRAT	1
OSMAN FARUK LOĞOĞLU	1941	M	DIPLOMAT	2
ÜMİT ÖZGÜMÜŞ	1956	M	BUSINESSMAN	1
NECDET ÜNÜVAR	1960	M	DOCTOR	1
MUHARREM VARLI	1969	M	FARMER	1
SEYFETTİN YILMAZ	1968	M	ENGINEER	1
AHMET AYDIN	1971	M	LAWYER	1
MEHMET ERDOĞAN	1966	M	VET	2
SALİH FIRAT	1960	M	DOCTOR	1
MEHMET METİNER	1960	M	JOURNALIST	1
MUHAMMED MURTAZA YETİŞ	1972	M	DOCTOR	2
SAİT AÇBA	1950	M	ACADEMICIAN	3
VEYSEL EROĞLU	1948	M	ACADEMICIAN	1
AHMET TOPTAŞ	1949	M	LAWYER	1
HALİL ÜRÜN	1968	M	LAWYER	2
KEMALETTİN YILMAZ	1956	M	ENGINEER	1
HALİL AKSOY	1948	M	TEACHER	1
EKREM ÇELEBİ	1965	M	BUREAUCRAT	1
FATMA SALMAN	1970	W	ACCOUNTANT	0
MEHMET KERİM YILDIZ	1965	M	DOCTOR	4
RUHİ AÇIKGÖZ	1963	M	ENGINEER	2
ALİ RIZA ALABOYUN	1957	M	ENGINEER	3
İLKNUR İNCEÖZ	1973	W	LAWYER	1
MEHMET NACİ BOSTANCI	1957	M	ACADEMICIAN	1
AVNİ ERDEMİR	1964	M	ACADEMICIAN	1
RAMİS TOPAL	1960	M	BUSINESSMAN	1
YALÇIN AKDOĞAN	1969	M	JOURNALIST	1
SÜLEYMAN SENCER AYATA	1949	M	ACADEMICIAN	1
SİNAN AYDIN AYGÜN	1959	M	BUSINESSMAN	1
ALI BABACAN	1967	M	ENGINEER	1
AYŞE GÜLSÜN BİLGEHAN	1957	W	ACADEMICIAN	2
İZZET ÇETİN	1953	M	WORKER	1
CEMİL ÇİÇEK	1946	M	LAWYER	2
REHA DENEMEÇ	1961	M	ECONOMIST	1
MUSTAFA ERDEM	1957	M	ACADEMICIAN	3
CEVDET ERDÖL	1958	M	DOCTOR	1
BÜLENT GEDİKLİ	1964	M	ACCOUNTANT	1
LEVENT GÖK	1959	M	LAWYER	1
GÖKHAN GÜNAYDIN	1964	M	ACADEMICIAN	1
ÜLKER GÜZEL	1944	W	PLANNER	1
MEHMET EMREHAN HALICI	1956	M	ENGINEER	1
HALUK İPEK	1963	M	LAWYER	1
EMRULLAH İŞLER	1960	M	ACADEMICIAN	2
AHMET İYİMAYA	1950	M	LAWYER	3
SALİH KAPUSUZ	1954	M	BUSINESSMAN	0
ZELKÜF KAZDAL	1975	M	LAWYER	2
BÜLENT KUŞOĞLU	1958	M	ACCOUNTANT	1
AYLİN NAZLIAKA	1968	W	BUSINESSWOMAN	1
NAZMİ HALUK ÖZDALGA	1948	M	ENGINEER	4
TÜLAY SELAMOĞLU	1966	W	ARCHITECT	2
SEYİT SERTÇELİK	1964	M	ACADEMICIAN	10
FATİH ŞAHİN	1979	M	LAWYER	2
NURDAN ŞANLI	1954	W	BUSINESSWOMAN	1
EMİNE ÜLKER TARHAN	1963	W	JUDGE	1
ZUHAL TOPÇU	1960	W	ACADEMICIAN	1
YILDIRIM TUĞRUL TÜRKEŞ	1954	M	ECONOMIST	1
ÖZCAN YENÇEERİ	1954	M	ACADEMICIAN	1
GÜRKUT ACAR	1948	M	LAWYER	1
SADIK BADAK	1955	M	ACCOUNTANT	1
DENİZ BAYKAL	1938	M	ACADEMICIAN	1
ARİF BULUT	1963	M	DOCTOR	1
MEVLUT ÇAVUŞOĞLU	1968	M	BUSINESSMAN	3
MEHMET VECDİ GÖNÜL	1939	M	BUREAUCRAT	1
MEHMET GÜNAL	1964	M	ECONOMIST	4
YUSUF ZİYA İRBEÇ	1959	M	ECONOMIST	7
OSMAN KAPTAN	1946	M	BUREAUCRAT	0
GÖKCEN ÖZDOĞAN ENÇ	1976	W	SPECIALIST	1
HÜSEYİN SAMANİ	1964	M	ENGINEER	2
YILDIRAY SAPAN	1967	M	BUSINESSMAN	1
TUNCA TOSKAY	1939	M	ECONOMIST	2
ORHAN ATALAY	1965	M	ACADEMICIAN	3
ENSAR ÖĞÜT	1946	M	BUSINESSMAN	2
UĞUR BAYRAKTUTAN	1965	M	LAWYER	0
İSRAFİL KIŞLA	1959	M	ADMINISTRATOR	3
OSMAN AYDIN	1955	M	ENGINEER	1
METİN LÜTFÜ BAYDAR	1960	M	DOCTOR	1
MEHMET ERDEM	1966	M	ENGINEER	2
ALİ GÜLTEKİN KILINÇ	1959	M	ACCOUNTANT	1
SEMİHA ÖYÜŞ	1960	W	LAWYER	1
BÜLENT TEZCAN	1965	M	LAWYER	1
ALİ UZUNIRMAK	1958	M	FARMER	2
AYŞE NEDRET AKOVA	1948	W	LAWYER	1
ALİ AYDINLIOĞLU	1958	M	TEACHER	1
TÜLAY BABUŞCU	1976	W	PHARMACIST	1
AHMET DURAN BULUT	1953	M	TEACHER	1
HALUK AHMET GÜMÜŞ	1960	M	ECONOMIST	2
NAMIK HAVUTÇA	1957	M	TEACHER	1
MEHMET CEMAL ÖZTAYLAN	1954	M	ECONOMIST	0
YILMAZ TUNÇ	1971	M	LAWYER	1
MUHAMMET RIZA YALÇINKAYA	1955	M	ENGINEER	0
AYLA AKAT ATA	1976	M	LAWYER	0
ZİVER ÖZDEMİR	1965	M	ENGINEER	3
MEHMET ŞİMŞEK	1967	M	ECONOMIST	1
BENGİ YILDIZ	1965	M	LAWYER	1
BÜNYAMİN ÖZBEK	1973	M	ENGINEER	1
FAHRETTİN POYRAZ	1968	M	AUDITOR	0
BAHATTİN ŞEKER	1956	M	BUSINESSMAN	0
İDRİS BALUKEN	1976	M	DOCTOR	3
EŞREF TAŞ	1965	M	ACADEMICIAN	1
CEVDET YILMAZ	1967	M	BUREAUCRAT	1
VEDAT DEMİRÖZ	1956	M	ACCOUNTANT	1
VAHİT KİLER	1966	M	BUSINESSMAN	0
HÜSAMETTİN ZENDERLİOĞLU	1949	M	TEACHER	3
ALİ ERCOŞKUN	1971	M	PROGRAMMER	1
FEHMİ KÜPÇÜ	1974	M	LAWYER	2
TANJU ÖZCAN	1973	M	LAWYER	2
BAYRAM ÖZÇELİK	1966	M	DENTIST	2
RAMAZAN KERİM ÖZKAN	1958	M	VET	1
HASAN HAMİ YILDIRIM	1963	M	CITY PLANNER	1
BÜLENT ARINÇ	1948	M	LAWYER	1
İSMAİL AYDIN	1971	M	LAWYER	2
İSMET BÜYÜKATAMAN	1953	M	ENGINEER	1
CANAN CANDEMİR ÇELİK	1974	W	LAWYER	1
HAKAN ÇAVUŞOĞLU	1972	M	LAWYER	2
İLHAN DEMİRÖZ	1951	M	ENGINEER	1
KEMAL EKİNCİ	1948	M	ENGINEER	0
AYKAN ERDEMİR	1974	M	ACADEMICIAN	2
TÜLİN ERKAL KARA	1969	W	TRANSLATOR	2
SENA KALELİ	1956	W	BUSINESSWOMAN	2
ÖNDER MATLI	1972	M	BUSINESSMAN	1
NECATİ ÖZENSOY	1961	M	ENGINEER	1
MUSTAFA ÖZTÜRK	1965	M	ENGINEER	1
İSMET SU	1959	M	LAWYER	0
HÜSEYİN ŞAHİN	1968	M	ECONOMIST	1
MUSTAFA KEMAL ŞERBETIÇOĞLU	1969	M	LAWYER	2
TURHAN TAYAN	1943	M	LAWYER	0
BEDRETTİN YILDIRIM	1951	M	TEACHER	2
MEHMET DANİŞ	1971	M	LAWYER	2
İSMAİL KAŞDEMİR	1978	M	LAWYER	1
ALİ SARIBAŞ	1955	M	ARCHITECT	1
MUSTAFA SERDAR SOYDAN	1957	M	ENGINEER	1
HÜSEYİN FİLİZ	1958	M	BUSINESSMAN	1
İDRİS ŞAHİN	1974	M	LAWYER	2
CAHİT BAĞCI	1964	M	SOCIOLOGIST	3
TUFAN KÖSE	1967	M	LAWYER	1
SALİM USLU	1955	M	WORKER	0
MURAT YILDIRIM	1958	M	TEACHER	1
EMİN HALUK AYHAN	1957	M	BUREAUCRAT	1
İLHAN CİHANER	1968	M	PROSECUTOR	0
NURCAN DALBUDAK	1979	W	TECHNICIAN	1
ADNAN KESKİN	1942	M	LAWYER	0
BİLAL UÇAR	1969	M	LAWYER	2
MEHMET Y�KSEL	1955	M	BUSINESSMAN	1
NİHAT ZEYBEKÇİ	1961	M	BUSINESSMAN	2
NURSEL AYDOĞAN	1958	W	ENGINEER	1
EMİNE AYNA	1968	W		1
MEHMET MEHDİ EKER	1956	M	VET	1
MEHMET GALİP ENSARİOĞLU	1966	M	BUSINESSMAN	3
OYA ERONAT	1962	W	ENGINEER	1
MEHMET SÜLEYMAN HAMZAOĞULLARI	1975	M	DOCTOR	1
CUMA İÇTEN	1973	M	IT SPECIALIST	3
MİNE LÖK BEYAZ	1973	W	ARCHITECT	1
ALTAN TAN	1958	M	ENGINEER	3
LEYLA ZANA	1961	W	JOURNALIST	1
FEVAİ ARSLAN	1966	M	BUSINESSMAN	1
OSMAN ÇAKIR	1964	M	TEACHER	1
İBRAHİM KORKMAZ	1960	M	ENGINEER	1
KEMAL DEĞİRMENDERELİ	1956	M	ENGINEER	1
MEHMET MÜEZZİNOĞLU	1955	M	DOCTOR	3
ŞUAY ALPAY	1960	M	LAWYER	0
SERMİN BALIK	1972	W	BUSINESSWOMAN	1
ZÜLFÜ DEMİRBAŞ	1956	M	ENGINEER	2
ENVER ERDEM	1963	M	BUREAUCRAT	1
FARUK SEPTİOĞLU	1961	M	BUSINESSMAN	1
MUHARREM IŞIK	1966	M	DOCTOR	1
SEBAHATTİN KARAKELLE	1950	M	TEACHER	0
RECEP AKDAĞ	1960	M	DOCTOR	1
MUHYETTİN AKSAK	1957	M	ENGINEER	1
FAZİLET DAĞCI ÇIĞLIK	1973	W	ENGINEER	4
OKTAY ÖZTÜRK	1951	M	LAWYER	1
CENGİZ YAVİLİOĞLU	1970	M	ECONOMIST	2
ADNAN YILMAZ	1953	M	BUREAUCRAT	1
NABİ AVCI	1953	M	ACADEMICIAN	2
BEDİİ SÜHEYL BATUM	1955	M	ACADEMICIAN	2
ÜLKER CAN	1963	W	PHARMACIST	1
RUHSAR DEMİREL	1963	W	DOCTOR	1
SALİH KOCA	1972	M	ENGINEER	2
DERYA BAKBAK	1972	W	ARCHITECT	1
HÜSEYİN ÇELİK	1959	M	ACADEMICIAN	1
MEHMET ERDOĞAN	1956	M	BUSINESSMAN	0
ABDULLAH NEJAT KOÇER	1963	M	BUSINESSMAN	1
İBRAHİM HALİL MAZICIOĞLU	1960	M	ENGINEER	1
MEHMET SARI	1968	M	BUSINESSMAN	0
